Título,Semilla,URL_adicionales,Estado,Tipo de recolección,Frecuencia ,Profundidad,Tamaño,Palabras_clave,Materia
CEIP Los Almendros (Almería),http://bloglosalmendros.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Almería,37 Educación. Enseñanza. Didáctica
"CEIP San Felipe (La Línea de la Concepción, Cádiz)",http://blogsanfelipe.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Cádiz,37 Educación. Enseñanza. Didáctica
"Bodega Los Infantes Orleans Borbón (Sanlúcar de Barrameda, Cádiz)",http://bodegaorleansborbon.es,,Activa,Selectiva,Anual,Host,Mediano,Vinos / Bodegas / Industria de las bebidas / Cádiz,663 Industria de las bebidas. Industria de los estimulantes
"Bodegas Cabriñanas (Montilla, Córdoba)",http://bodegarockera.es,,Activa,Selectiva,Anual,Host,Mediano,Vinos / Bodegas / Industria de las bebidas / Córdoba,663 Industria de las bebidas. Industria de los estimulantes
Bodegas Andrade (Bollullos Par del Condado (Huelva),http://bodegasandrade.es,,Activa,Selectiva,Anual,Host,Mediano,Vinos / Bodegas / Industria de las bebidas / Huelva,663 Industria de las bebidas. Industria de los estimulantes
"Bodegas Fuente Reina (Constantina, Sevilla)",http://bodegasfuentereina.com,,Activa,Selectiva,Anual,Host,Mediano,Vinos / Bodegas / Industria de las bebidas / Sevilla,663 Industria de las bebidas. Industria de los estimulantes
"Bodegas Grant (Puerto de Santa María, Cádiz)",http://bodegasgrant.com,,Inactiva,Selectiva,Anual,Host,Mediano,Vinos / Brandy / Bodega / /Industria de las bebidas / Cádiz,663 Industria de las bebidas. Industria de los estimulantes
Bodegas Juan Piñero (Sanlúcar de Barrameda (Cádiz),http://bodegasjuanpinero.com,,Activa,Selectiva,Anual,Host,Mediano,Vinos / Bodegas / Industria de las bebidas / Cádiz,663 Industria de las bebidas. Industria de los estimulantes
"Bodegas Luís Pérez (Jerez de la Frontera, Cádiz)",http://bodegasluisperez.com,,Activa,Selectiva,Anual,Host,Mediano,Vinos / Bodegas / Industria de las bebidas / Cádiz,663 Industria de las bebidas. Industria de los estimulantes
"Bodegas Luque (Doña Mencía, Córdoba)",http://bodegasluque.es,,Activa,Selectiva,Anual,Host,Mediano,Vinos / Bodegas / Industria de las bebidas / Córdoba,663 Industria de las bebidas. Industria de los estimulantes
"Bodegas Sillero (La Rambla, Córdoba)",http://bodegassillero.com/cgi-sys/suspendedpage.cgi,,Activa,Selectiva,Anual,Host,Mediano,Vinos / Bodegas / Industria de las bebidas / Córdoba,663 Industria de las bebidas. Industria de los estimulantes
"Bodegas Villagran (Campocámara, Granada)",http://bodegasvillagran.com,,Activa,Selectiva,Anual,Host,Mediano,Vinos / Bodegas / Industria de las bebidas / Granada,663 Industria de las bebidas. Industria de los estimulantes
"Cab Beer (Montilla, Córdoba)",http://cabbeer.blogspot.com,,Activa,Selectiva,Anual,Host,Mediano,Cerveza / Industria de las bebidas / Córdoba,663 Industria de las bebidas. Industria de los estimulantes
Cabra información,http://cabrainformacion.com,,Inactiva,Selectiva,Semanal,Inicio y 1 nivel,Pequeno,Medios de comunicación social / Periódicos electrónicos / Córdoba / Andalucía,07 Prensa
Ciudadanos - Cádiz - (Cs - Cádiz),http://cadiz.ciudadanos-cs.org,,Activa,Selectiva,Semestral,Inicio y 2 niveles,Pequeno,Política / Instituciones políticas / Partidos políticos / Ciudadanos - Partido de la Ciudadanía (Cs) / Cádiz,32 Política
"Café Teatro Pay-Pay (Algeciras, Cádiz)",http://cafeteatropaypay.com,,Activa,Selectiva,Semestral,Host,Pequeno,Teatros / Cádiz,792/793 Teatro. Danza
"Bodega Callejuela (Sanlúcar de Barrameda, Cádiz)",http://callejuela.es,,Activa,Selectiva,Anual,Host,Mediano,Vinos / Bodegas / Industria de las bebidas / Cádiz,664 Industria alimentaria
"CEIP Carlos III (Guarromán, Jaén)",http://carlos3guarroman.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Jaén,37 Educación. Enseñanza. Didáctica
"CEIP María Auxiliadora (Carratraca, Málaga)",http://carracoles.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Málaga,37 Educación. Enseñanza. Didáctica
"CEIP Castillo de Anzur (Puente Genil, Córdoba)",http://castillodeanzur.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Córdoba,37 Educación. Enseñanza. Didáctica
"Castillo de la Estrella (Teba, Málaga)",http://castillodelaestrella.com,,Activa,Selectiva,Anual,Host,Mediano,Aceite de oliva / Almazaras / Málaga,664 Industria alimentaria
"La Jerezana cerveza artesana (Jerez de la Frontera, Cádiz)",http://catarte.com,,Inactiva,Selectiva,Anual,Host,Mediano,Cerveza / Industria de las bebidas / Cádiz,663 Industria de las bebidas. Industria de los estimulantes
"CEIP Virgen de Linarejos (Linares, Jaén)",http://ceevirgenlinarejos.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Jaén,37 Educación. Enseñanza. Didáctica
"CEIP Ramón y Cajal (Ogíjares, Granada)",http://ceip18007241.blogspot.com/p/conocenos.html,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
"CEIP 19 de Abril (Dos Hermanas, Sevilla)",http://ceip19deabril.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Sevilla,37 Educación. Enseñanza. Didáctica
CEIP Adolfo de Castro (Cádiz),http://ceipadolfodecastro.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Cádiz,37 Educación. Enseñanza. Didáctica
"CEIP Albaicín (El Viso del Alcor, Sevilla)",http://ceipalbaicin.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Sevilla,37 Educación. Enseñanza. Didáctica
CEIP Alfares (Sevilla),http://ceipalfares.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Sevilla,37 Educación. Enseñanza. Didáctica
"CEIP Algazara (Alhaurín de la Torre, Málaga)",http://ceipalgazara.es,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Málaga,37 Educación. Enseñanza. Didáctica
"CEIP Alicún-Huécija (Alicún, Almería)",http://ceipalicunhuecija.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Almería,37 Educación. Enseñanza. Didáctica
CEIP Almudena Grandes (Málaga),http://ceipalmudenagrandes.es,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Málaga,37 Educación. Enseñanza. Didáctica
"CEIP Andalucía Francisco Soria (Algámitas, Sevilla)",http://ceipandaluciafranciscosoria.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Sevilla,37 Educación. Enseñanza. Didáctica
"CEIP  Ángel Carrillo (Priego de Córdoba, Córdoba)",http://ceipangelcarrillo.blogspot.com,,Inactiva,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Córdoba,37 Educación. Enseñanza. Didáctica
CEIP Antonio Gala (Córdoba),http://ceip-antoniogala.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Córdoba,37 Educación. Enseñanza. Didáctica
"CEIP Antonio Guerrero (Aljaraque, Huelva)",http://ceipantonioguerrero.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Huelva,37 Educación. Enseñanza. Didáctica
"CEIP Antonio Machado (Alcalá de Guadaíra, Sevilla)",http://ceipantoniomachado.es,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Sevilla,37 Educación. Enseñanza. Didáctica
CEIP Antonio Machado (Málaga),http://ceipantoniomachadomalaga.es,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Málaga,37 Educación. Enseñanza. Didáctica
"CEIP Antonio Pérez Cerezo (Martos, Jaén)",http://ceipantonioperezcerezo.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Jaén,37 Educación. Enseñanza. Didáctica
CEIP Ardira (Málaga),http://ceipardira.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Málaga,37 Educación. Enseñanza. Didáctica
CEIP Arturo Reyes (Málaga),http://ceiparturoreyesmalaga.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Málaga,37 Educación. Enseñanza. Didáctica
"CEIP La Atalaya (Níjar, Almería)",http://ceipatalaya1969.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Almería,37 Educación. Enseñanza. Didáctica
CEIP Azahares (Sevilla),http://ceipazahares.es,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Sevilla,37 Educación. Enseñanza. Didáctica
"CEIP Azorín (Villarrasa, Huelva)",http://ceipazorinvillarrasa.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Huelva,37 Educación. Enseñanza. Didáctica
"CEIP San Francisco (Cájar, Granada)",http://ceipcajar.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
