Título,Semilla,URL_adicionales,Estado,Tipo de recolección,Frecuencia ,Profundidad,Tamaño,Palabras_clave,Materia
CEIP Manuel Canela (Sevilla),https://blogsaverroes.juntadeandalucia.es/ceipmanuelcanela/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Sevilla,37 Educación. Enseñanza. Didáctica
"CEIP Manuel de Falla (Jerez de la Frontera, Cádiz)",https://blogsaverroes.juntadeandalucia.es/ceipmanueldefalla/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Cádiz,37 Educación. Enseñanza. Didáctica
"CEIP Manuel Pérez (Bollullos Par del Condado, Huelva)",https://blogsaverroes.juntadeandalucia.es/ceipmanuelperez/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Huelva,37 Educación. Enseñanza. Didáctica
CEIP Manuel Siurot (Huelva),https://blogsaverroes.juntadeandalucia.es/ceipmanuelsiurot/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Huelva,37 Educación. Enseñanza. Didáctica
"CEIP Mare Nostrum (Adra, Almería)",https://blogsaverroes.juntadeandalucia.es/ceipmarenostrumadra/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Almería,37 Educación. Enseñanza. Didáctica
"CEIP Mariana Pineda (Arroyo de la Miel, Málaga)",https://blogsaverroes.juntadeandalucia.es/ceipmarianapineda/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Málaga,37 Educación. Enseñanza. Didáctica
"CEIP Marqués de Guadalcázar (Guadalcázar, Córdoba)",https://blogsaverroes.juntadeandalucia.es/ceipmarquesdeguadalcazar/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Córdoba,37 Educación. Enseñanza. Didáctica
"CEIP Mayor Zaragoza (Salobreña, Granada)",https://blogsaverroes.juntadeandalucia.es/ceipmayorzaragoza/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
"CEIP Medina Olmos (Guadix, Granada)",https://blogsaverroes.juntadeandalucia.es/ceipmedinaolmos/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
"CEIP Menéndez Pidal (Los Rosales, Sevilla)",https://blogsaverroes.juntadeandalucia.es/ceipmenendezpidal/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Sevilla,37 Educación. Enseñanza. Didáctica
"CEIP Miguel Hernández (San Pedro de Alcántara, Málaga)",https://blogsaverroes.juntadeandalucia.es/ceipmiguelhernandez/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Málaga,37 Educación. Enseñanza. Didáctica
"CEIP Miguel Hernández (Manzanilla, Huelva)",https://blogsaverroes.juntadeandalucia.es/ceipmiguelhernandezdemanzanilla/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Huelva,37 Educación. Enseñanza. Didáctica
"CEIP Miguel Hernández ""La Cigüeña"" (Brenes, Sevilla)",https://blogsaverroes.juntadeandalucia.es/ceipmiguelhernandezlaciguena/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Sevilla,37 Educación. Enseñanza. Didáctica
"CEIP Miguel Servet (El Ejido, Almería)",https://blogsaverroes.juntadeandalucia.es/ceipmiguelservet/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Almería,37 Educación. Enseñanza. Didáctica
"CEIP Miraflores (Monachil, Granada)",https://blogsaverroes.juntadeandalucia.es/ceipmirafloresmonachil/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
"CEIP Monte Albo (Montalbán de Córdoba, Córdoba)",https://blogsaverroes.juntadeandalucia.es/ceipmontealbo/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Córdoba,37 Educación. Enseñanza. Didáctica
"CEIP Natalio Rivas (Huéscar, Granada)",https://blogsaverroes.juntadeandalucia.es/ceipnataliorivas/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
"CEIP Ntra. Sra. de la Asunción (Arboleas, Almería)",https://blogsaverroes.juntadeandalucia.es/ceipntrasraasuncion/,,Inactiva,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Almería,37 Educación. Enseñanza. Didáctica
"CEIP Ntra. Sra. de Gracia (Alosno, Huelva)",https://blogsaverroes.juntadeandalucia.es/ceipnuestrasenoradegracia/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Huelva,37 Educación. Enseñanza. Didáctica
"CEIP Nuestra Señora del Rosario (Cortes de la Frontera, Málaga)",https://blogsaverroes.juntadeandalucia.es/ceipnuestrasenoradelrosario/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Málaga,37 Educación. Enseñanza. Didáctica
"CEIP Nuestro Padre Jesús (Ronda, Málaga)",https://blogsaverroes.juntadeandalucia.es/ceipnuestropadrejesus/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Málaga,37 Educación. Enseñanza. Didáctica
CEIP Nueva Almería (Almería),https://blogsaverroes.juntadeandalucia.es/ceipnuevaalmeria/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Almería,37 Educación. Enseñanza. Didáctica
"CEIP Nueva Andalucía (Rus, Jaén)",https://blogsaverroes.juntadeandalucia.es/ceipnuevaandalucia/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Jaén,37 Educación. Enseñanza. Didáctica
"CEIP Gabriel Cara (Roquetas de Mar, Almería)",https://blogsaverroes.juntadeandalucia.es/ceipnuevolasmarinas/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Almería,37 Educación. Enseñanza. Didáctica
CEIP Obispo Osio (Córdoba),https://blogsaverroes.juntadeandalucia.es/ceipobispoosio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Córdoba,37 Educación. Enseñanza. Didáctica
"CEIP Oromana (Alcalá de Guadaíra, Sevilla)",https://blogsaverroes.juntadeandalucia.es/ceiporomana/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Sevilla,37 Educación. Enseñanza. Didáctica
CEIP Pablo García Baena (Córdoba),https://blogsaverroes.juntadeandalucia.es/ceippablogarciabaena/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Córdoba,37 Educación. Enseñanza. Didáctica
CEIP Pablo VI (Sevilla),https://blogsaverroes.juntadeandalucia.es/ceippablovi/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Sevilla,37 Educación. Enseñanza. Didáctica
"CEIP Padre González Ros (Sorbas, Almería)",https://blogsaverroes.juntadeandalucia.es/ceippadregonzalezros/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Almería,37 Educación. Enseñanza. Didáctica
"CEIP Padre Miguel Sánchez (Almogía, Málaga)",https://blogsaverroes.juntadeandalucia.es/ceippadremiguelsanchez/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Málaga,37 Educación. Enseñanza. Didáctica
CEIP Parque Nueva Granada (Granada),https://blogsaverroes.juntadeandalucia.es/ceipparquenuevagranada/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
"CEIP Rodrigo Pérez de Acevedo (Lepe, Huelva)",https://blogsaverroes.juntadeandalucia.es/ceipperezacevedo/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Huelva,37 Educación. Enseñanza. Didáctica
"CEIP Ponce de León (Torredonjimeno, Jaén)",https://blogsaverroes.juntadeandalucia.es/ceipponcedeleon/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Jaén,37 Educación. Enseñanza. Didáctica
"CEIP Posidonia (Roquetas de Mar, Almería)",https://blogsaverroes.juntadeandalucia.es/ceipposidonia/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Almería,37 Educación. Enseñanza. Didáctica
CEIP Prácticas (Huelva),https://blogsaverroes.juntadeandalucia.es/ceippracticashuelva/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Huelva,37 Educación. Enseñanza. Didáctica
CEIP Príncipe de Asturias (Sevilla),https://blogsaverroes.juntadeandalucia.es/ceipprincipedeasturias/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Sevilla,37 Educación. Enseñanza. Didáctica
"CEIP Profesor Gálvez (Villaluenga del Rosario, Cádiz)",https://blogsaverroes.juntadeandalucia.es/ceipprofesorgalvez/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Cádiz,37 Educación. Enseñanza. Didáctica
CEIP Profesor Tierno Galván (Granada),https://blogsaverroes.juntadeandalucia.es/ceipptiernogalvangr/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
"CEIP Rafael Alberti (Dos Hermanas, Sevilla)",https://blogsaverroes.juntadeandalucia.es/ceiprafaelalbertidh/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Sevilla,37 Educación. Enseñanza. Didáctica
"CEIP Ramón Crossa (Ubrique, Cádiz)",https://blogsaverroes.juntadeandalucia.es/ceipramoncrossa/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Cádiz,37 Educación. Enseñanza. Didáctica
"CEIP Ramón Hernández Martínez (Cañete de las Torres, Córdoba)",https://blogsaverroes.juntadeandalucia.es/ceipramonhernandez/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Córdoba,37 Educación. Enseñanza. Didáctica
"CEIP Real Mentesa (La Guardia de Jaén, Jaén)",https://blogsaverroes.juntadeandalucia.es/ceiprealmentesa/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Jaén,37 Educación. Enseñanza. Didáctica
"CEIP Reina Fabiola (Alcalá de Guadaíra, Sevilla)",https://blogsaverroes.juntadeandalucia.es/ceipreinafabiola/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Sevilla,37 Educación. Enseñanza. Didáctica
"CEIP Reina Isabel (Purullena, Granada)",https://blogsaverroes.juntadeandalucia.es/ceipreinaisabel/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
"CEIP Augusto Santiago Bellido (Vélez-Málaga, Málaga)",https://blogsaverroes.juntadeandalucia.es/ceiprenidero/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Málaga,37 Educación. Enseñanza. Didáctica
CEIP Reyes Católicos (Cádiz),https://blogsaverroes.juntadeandalucia.es/ceipreyescatolicos/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Cádiz,37 Educación. Enseñanza. Didáctica
"CEIP Reyes Católicos (Vera, Almería)",https://blogsaverroes.juntadeandalucia.es/ceipreyescatolicosdevera/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Almería,37 Educación. Enseñanza. Didáctica
"CEIP Río Chico (Cádiar, Granada)",https://blogsaverroes.juntadeandalucia.es/ceipriochico/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
"CEIP Río Piedras (Lepe, Huelva)",https://blogsaverroes.juntadeandalucia.es/ceipriopiedras/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Huelva,37 Educación. Enseñanza. Didáctica
CEIP Rosa de Gálvez (Málaga),https://blogsaverroes.juntadeandalucia.es/ceiprosadegalvez/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Málaga,37 Educación. Enseñanza. Didáctica
"CEIP Sagrado Corazón de Jesús (El Puerto de Santa María, Cádiz)",https://blogsaverroes.juntadeandalucia.es/ceipsagradocorazondejesus/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Cádiz,37 Educación. Enseñanza. Didáctica
"CEIP San Antonio (Motril, Granada)",https://blogsaverroes.juntadeandalucia.es/ceipsanantoniomotril/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
"CEIP San Bartolomé (Andújar, Jaén)",https://blogsaverroes.juntadeandalucia.es/ceipsanbartolomeandujar/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Jaén,37 Educación. Enseñanza. Didáctica
CEIP San Bernardo (Almería),https://blogsaverroes.juntadeandalucia.es/ceipsanbernardo/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Almería,37 Educación. Enseñanza. Didáctica
"CEIP San Blas (Carmona, Sevilla)",https://blogsaverroes.juntadeandalucia.es/ceipsanblas/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Sevilla,37 Educación. Enseñanza. Didáctica
"CEIP Sancti Petri (Chiclana de la Frontera, Cádiz)",https://blogsaverroes.juntadeandalucia.es/ceipsanctipetri/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Cádiz,37 Educación. Enseñanza. Didáctica
CEIP San Fernando (Almería),https://blogsaverroes.juntadeandalucia.es/ceipsanfernandoalmeria/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Almería,37 Educación. Enseñanza. Didáctica
CEIP San Fernando (Córdoba),https://blogsaverroes.juntadeandalucia.es/ceipsanfernandocordoba/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Córdoba,37 Educación. Enseñanza. Didáctica
"CEIP San Ginés de la Jara (Sabiote, Jaén)",https://blogsaverroes.juntadeandalucia.es/ceipsanginesdelajara/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Jaén,37 Educación. Enseñanza. Didáctica
"CEIP San Isidro Labrador (Fuente Palmera, Cádiz)",https://blogsaverroes.juntadeandalucia.es/ceipsanisidrolabrador/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Córdoba,37 Educación. Enseñanza. Didáctica
"CEIP San José de Calasanz (Baza, Granada)",https://blogsaverroes.juntadeandalucia.es/ceipsanjosedecalasanbaza/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
"CEIP San José Obrero (Jerez de la Frontera, Cádiz)",https://blogsaverroes.juntadeandalucia.es/ceipsanjoseobrero/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Cádiz,37 Educación. Enseñanza. Didáctica
"CEIP San Juan (Valdepeñas de Jaén, Jaén)",https://blogsaverroes.juntadeandalucia.es/ceipsanjuan/el-centro-2/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Jaén,37 Educación. Enseñanza. Didáctica
"CEIP San Juan de la Cruz (Baeza, Jaén)",https://blogsaverroes.juntadeandalucia.es/ceipsanjuandelacruzbaeza/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Jaén,37 Educación. Enseñanza. Didáctica
"CEIP San Miguel (Nerja, Málaga)",https://blogsaverroes.juntadeandalucia.es/ceipsanmiguelnerja/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Málaga,37 Educación. Enseñanza. Didáctica
"CEIP San Nicolás (Adra, Almería)",https://blogsaverroes.juntadeandalucia.es/ceipsannicolas/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Almería,37 Educación. Enseñanza. Didáctica
"CEIP San Pedro de Alcántara (San Pedro de Alcántara, Málaga)",https://blogsaverroes.juntadeandalucia.es/ceipsanpedrodealcantara/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Málaga,37 Educación. Enseñanza. Didáctica
"CEIP San Roque (Villablanca, Huelva)",https://blogsaverroes.juntadeandalucia.es/ceipsanroquevillablanca/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Huelva,37 Educación. Enseñanza. Didáctica
"CEIP San Sebastián (Fiñana, Almería)",https://blogsaverroes.juntadeandalucia.es/ceipsansebastian/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Almería,37 Educación. Enseñanza. Didáctica
"CEIP San Sebastián (Mijas, Málaga)",https://blogsaverroes.juntadeandalucia.es/ceipsansebastiandemijas/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Málaga,37 Educación. Enseñanza. Didáctica
"CEIP San Sebastián (La Puebla del Río, Sevilla)",https://blogsaverroes.juntadeandalucia.es/ceipsansebastianlapuebladelrio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Sevilla,37 Educación. Enseñanza. Didáctica
"CEIP Santa María del Águila (El Ejido, Almería)",https://blogsaverroes.juntadeandalucia.es/ceipsantamaria/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Almería,37 Educación. Enseñanza. Didáctica
"CEIP Santa Rita (San Roque, Cádiz)",https://blogsaverroes.juntadeandalucia.es/ceipsantarita/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Cádiz,37 Educación. Enseñanza. Didáctica
"CEIP San Tesifón (Berja, Almería)",https://blogsaverroes.juntadeandalucia.es/ceipsantesifon/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Almería,37 Educación. Enseñanza. Didáctica
"CEIP Silos (Alcalá de Guadaíra, Sevilla)",https://blogsaverroes.juntadeandalucia.es/ceipsilos/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Sevilla,37 Educación. Enseñanza. Didáctica
"CEIP Simón Fuentes (Carboneras, Almería)",https://blogsaverroes.juntadeandalucia.es/ceipsimonfuentes/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Almería,37 Educación. Enseñanza. Didáctica
"CEIP Solymar (El Ejido, Almería)",https://blogsaverroes.juntadeandalucia.es/ceipsolymar/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Almería,37 Educación. Enseñanza. Didáctica
"CEIP Tartessos (Jerez de la Frontera, Cádiz)",https://blogsaverroes.juntadeandalucia.es/ceiptartessos/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Cádiz,37 Educación. Enseñanza. Didáctica
"CEIP Teresa de Jesús (El Ejido, Almería)",https://blogsaverroes.juntadeandalucia.es/ceipteresadejesus/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Almería,37 Educación. Enseñanza. Didáctica
"CEIP Tetuán (Linares, Jaén)",https://blogsaverroes.juntadeandalucia.es/ceiptetuan/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Jaén,37 Educación. Enseñanza. Didáctica
"CEIP Tierno Galván (Castellar de la Frontera, Cádiz)",https://blogsaverroes.juntadeandalucia.es/ceiptiernogalvan/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Cádiz,37 Educación. Enseñanza. Didáctica
"CEIP Profesor Tierno Galván (Armilla, Granada)",https://blogsaverroes.juntadeandalucia.es/ceiptiernogalvanarmilla/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
CEIP Profesor Tierno Galván (Cádiz),https://blogsaverroes.juntadeandalucia.es/ceiptiernogalvancadiz/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Cádiz,37 Educación. Enseñanza. Didáctica
"CEIP Profesor Tierno Galván (Chiclana de la Frontera, Cádiz)",https://blogsaverroes.juntadeandalucia.es/ceiptiernogalvanchiclana/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Cádiz,37 Educación. Enseñanza. Didáctica
"CEIP Profesor Tierno Galván (Rincón de la Victoria, Málaga)",https://blogsaverroes.juntadeandalucia.es/ceiptiernogalvanrincondelavictoria/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Málaga,37 Educación. Enseñanza. Didáctica
CEIP Tierno Galván (Sevilla),https://blogsaverroes.juntadeandalucia.es/ceiptiernogalvansevilla/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Sevilla,37 Educación. Enseñanza. Didáctica
"CEIP Tínar (Albolote, Granada)",https://blogsaverroes.juntadeandalucia.es/ceiptinar/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
CEIP Tirso de Molina (Córdoba),https://blogsaverroes.juntadeandalucia.es/ceiptirsodemolina/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Córdoba,37 Educación. Enseñanza. Didáctica
"CEIP Triana (Trigueros, Huelva)",https://blogsaverroes.juntadeandalucia.es/ceiptriana/nuestro-colegio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Huelva,37 Educación. Enseñanza. Didáctica
"CEIP Urbano Palma (Santaella, Córdoba)",https://blogsaverroes.juntadeandalucia.es/ceipurbanopalma/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Córdoba,37 Educación. Enseñanza. Didáctica
CEIP Valdés Leal (Sevilla),https://blogsaverroes.juntadeandalucia.es/ceipvaldesleal/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Sevilla,37 Educación. Enseñanza. Didáctica
"CEIP Velada (La Línea de la Concepción, Cádiz)",https://blogsaverroes.juntadeandalucia.es/ceipvelada/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Cádiz,37 Educación. Enseñanza. Didáctica
"CEIP Vicente Aleixandre (Torre del Mar, Málaga)",https://blogsaverroes.juntadeandalucia.es/ceipvicentealeixandre/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Málaga,37 Educación. Enseñanza. Didáctica
"CEIP Victoria Díez (Hornachuelos, Córdoba)",https://blogsaverroes.juntadeandalucia.es/ceipvictoriadiez/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Córdoba,37 Educación. Enseñanza. Didáctica
"CEIP Virgen de la Antigua (Almuñécar, Granada)",https://blogsaverroes.juntadeandalucia.es/ceipvirgendelaantigua/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
"CEIP Virgen de la Cabeza ( Campillo de Arenas, Jaén)",https://blogsaverroes.juntadeandalucia.es/ceipvirgendelacabeza/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Jaén,37 Educación. Enseñanza. Didáctica
"CEIP Virgen del Carmen (Setenil de las Bodegas, Cádiz)",https://blogsaverroes.juntadeandalucia.es/ceipvirgendelcarmensetenil/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Cádiz,37 Educación. Enseñanza. Didáctica
"CEIP Virgen del Rosario (Jayena, Granada)",https://blogsaverroes.juntadeandalucia.es/ceipvirgendelrosario/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
"CEIP Virgen de Montemayor (Moguer, Huelva)",https://blogsaverroes.juntadeandalucia.es/ceipvirgendemontemayor/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Huelva,37 Educación. Enseñanza. Didáctica
"CEIP Antonio Relaño (Abrucena, Almería)",https://blogsaverroes.juntadeandalucia.es/coleabrucena/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Almería,37 Educación. Enseñanza. Didáctica
"CEIP San Isidro Labrador (Bornos, Cádiz)",https://blogsaverroes.juntadeandalucia.es/colecotodebornos/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Cádiz,37 Educación. Enseñanza. Didáctica
"CEIP Nuestra Señora del Amparo (Darro, Granada)",https://blogsaverroes.juntadeandalucia.es/coledarro/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
"CEIP Nuestra Señora de los Remedios (Vegas del Genil, Granada)",https://blogsaverroes.juntadeandalucia.es/colegioambroz/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
"CEIP Andalucía (Fuengirola, Málaga)",https://blogsaverroes.juntadeandalucia.es/colegioandalucia/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Málaga,37 Educación. Enseñanza. Didáctica
"CEIP San Sebastián (Benalúa de las Villas, Granada)",https://blogsaverroes.juntadeandalucia.es/colegiobenaluadelasvillas/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
"CEIP Profesor Tierno Galván (Aljaraque, Huelva)",https://blogsaverroes.juntadeandalucia.es/colegiocorrales/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Huelva,37 Educación. Enseñanza. Didáctica
CEIP Fuentenueva (Granada),https://blogsaverroes.juntadeandalucia.es/colegiofuentenueva/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
CEIP Ginés Morata (Almería),https://blogsaverroes.juntadeandalucia.es/colegioginesmorata/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Almería,37 Educación. Enseñanza. Didáctica
"CEIP Hermanos Pinzón (Palos de la Frontera, Huelva)",https://blogsaverroes.juntadeandalucia.es/colegiohermanospinzon/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Huelva,37 Educación. Enseñanza. Didáctica
"CEIP Juan Valera (Cabra, Córdoba)",https://blogsaverroes.juntadeandalucia.es/colegiojuanvalera/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Córdoba,37 Educación. Enseñanza. Didáctica
"CEIP La Noria (Almuñécar, Granada)",https://blogsaverroes.juntadeandalucia.es/colegiolanoria/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
"CEIP Alarcón Fernández de Arellano (Cuevas de Almanzora, Almería)",https://blogsaverroes.juntadeandalucia.es/colegiopalomares/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Almería,37 Educación. Enseñanza. Didáctica
"CEIP Princesa Sofía (Sanlúcar de Barrameda, Cádiz)",https://blogsaverroes.juntadeandalucia.es/colegioprincesasofia/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Cádiz,37 Educación. Enseñanza. Didáctica
"CEIP Rafael Alberti (Villanueva de Tapia, Málaga)",https://blogsaverroes.juntadeandalucia.es/colegiorafaelalberti/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Málaga,37 Educación. Enseñanza. Didáctica
"CEIP Santa Teresa (Marbella, Málaga)",https://blogsaverroes.juntadeandalucia.es/colegiosantateresa/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Málaga,37 Educación. Enseñanza. Didáctica
"CEIP Vicente Aleixandre (Villaverde del Río, Sevilla)",https://blogsaverroes.juntadeandalucia.es/colegiovicentealeixandre/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Sevilla,37 Educación. Enseñanza. Didáctica
